1,Frostbite Time Trial,,03/07/2015,Somewhere,CO,,,,,
2,University of Denver Criterium,,03/08/2015,Somewhere,CO,,,,,
3,Oredigger Classic - Lookout Mountain ITT/Hillclimb,,03/14/2015,Somewhere,CO,,,,,
4,Oredigger Classic - Criterium,,03/15/2015,Somewhere,CO,,,,,
5,CSU Rams Circuit Race canceled,,03/21/2015,Somewhere,CO,,,,,
6,Colorado State University Oval Criterium,,03/22/2015,Somewhere,CO,,,,,
7,Fort Lewis College Squawker Classic Criterium,,03/28/2015,Somewhere,CO,,,,,
8,Fort Lewis College Squawker Classic Road Race,,03/29/2015,Somewhere,CO,,,,,
9,Karen Hornbostel Mem'l TT #1,,04/01/2015,Somewhere,CO,,,,,
10,Louisville Criterium 2015,,04/04/2015,Somewhere,CO,,,,,
11,USAFA Criterium Front Range Classic,,04/04/2015,Somewhere,CO,,,,,
12,USAFA Road Race Front Range Classic,,04/05/2015,Somewhere,CO,,,,,
13,Karen Hornbostel Mem'l TT #2,,04/08/2015,Somewhere,CO,,,,,
14,Boulder Roubaix Road Race,,04/11/2015,Somewhere,CO,,,,,
15,CU Stazio Crit,,04/12/2015,Somewhere,CO,,,,,
16,Karen Hornbostel Mem'l TT #3,,04/15/2015,Somewhere,CO,,,,,
17,Clasica de Rio Grande canceled too much snow!,,04/18/2015,Somewhere,CO,,,,,
18,Colorado Bike Law Denver Federal Center Classic,,04/19/2015,Somewhere,CO,,,,,
19,Karen Hornbostel Mem'l TT #4,,04/22/2015,Somewhere,CO,,,,,
20,Maverick Classic - Colorado Mesa University,,04/24/2015,Somewhere,CO,,,,,
21,Maverick Classic - Colorado Mesa University,,04/25/2015,Somewhere,CO,,,,,
22,Maverick Classic - Colorado Mesa University,,04/26/2015,Somewhere,CO,,,,,
23,Karen Hornbostel Mem'l TT #5,,04/29/2015,Somewhere,CO,,,,,
24,Koppenberg Road Race 2015,,05/02/2015,Somewhere,CO,,,,,
25,Lafayette Criterium,,05/03/2015,Somewhere,CO,,,,,
26,Karen Hornbostel Mem'l TT #6,,05/06/2015,Somewhere,CO,,,,,
27,Wheels of Thunder,,05/09/2015,Somewhere,CO,,,,,
28,Boulder Orthopedics Crit Table Mountain,,05/10/2015,Somewhere,CO,,,,,
29,Karen Hornbostel Mem'l TT #7,,05/13/2015,Somewhere,CO,,,,,
30,Superior Morgul Classic - Time Trial 2015,,05/15/2015,Somewhere,CO,,,,,
31,Superior Morgul Classic - Circuit Race 2015,,05/16/2015,Somewhere,CO,,,,,
32,Superior Morgul Classic - Road Race 2015,,05/17/2015,Somewhere,CO,,,,,
33,Karen Hornbostel Mem'l TT (make up date),,05/20/2015,Somewhere,CO,,,,,
34,Haystack Mountain Individual Time Trial,,05/23/2015,Somewhere,CO,,,,,
35,Haystack Mountain Team Time Trial,,05/23/2015,Somewhere,CO,,,,,
36,City Park Criterium,,05/30/2015,Somewhere,CO,,,,,
37,Deer Trail Road Race SR RR Championships,,05/31/2015,Somewhere,CO,,,,,
38,P2P Mid-Week Race Series @ CSP (start of series see below),,06/03/2015,Somewhere,CO,,,,,
39,BVV Master Track Cup (start of series see below),,06/04/2015,Somewhere,CO,,,,,
40,Sunshine Hill Climb,,06/06/2015,Somewhere,CO,,,,,
41,Ridge at 38 Criterium,,06/07/2015,Somewhere,CO,,,,,
42,Best of Hess Individual Time Trials,,06/13/2015,Somewhere,CO,,,,,
43,Best of Hess Team Time Trials,,06/13/2015,Somewhere,CO,,,,,
44,Guanella Pass Hill Climb,,06/14/2015,Somewhere,CO,,,,,
45,John Stenner Mem'l - CO Time Trial Championships,,06/20/2015,Somewhere,CO,,,,,
